Export;EXP-2024-001 (2024-08-26T08:19:22+01:00);;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
NOx;uur;µg NO2/m³;2024-06-23T09:00:00+01:00;2024-06-23T10:00:00+01:00;8.24;3.97;8.5;12.43;6.89;11.34;32.67;7.97;9.79;36.37;14.58;9.95;5.1;7.83;11.62;12.95;27.76;25.52;12.3;11.08;24.09;25.47;19.56;46.71;56.14;7.79;20.49;4.4;12.28;15.79;14.31;21.19;9.64;11.11;4.57;4.63;18.29;11.18;;10.15;12.75;2.77;1.86;9.58;1.98
NOx;uur;µg NO2/m³;2024-06-23T10:00:00+01:00;2024-06-23T11:00:00+01:00;11.17;3.01;4.92;13.22;3.42;4.66;30.52;5.97;9.87;31;10.53;5.6;3.55;4.49;14.81;9.24;29.16;18.17;8.48;12.15;17.31;29.39;18.64;45.15;40.31;6.24;22.31;2.67;7.14;11.37;9.3;22.38;5.8;6.34;2.06;3.5;16.79;7.7;;5.88;11.48;1.92;1.61;9.94;1.9
NOx;uur;µg NO2/m³;2024-06-23T11:00:00+01:00;2024-06-23T12:00:00+01:00;7.14;2.79;3.87;13.16;2.51;3.2;21.86;6.21;17.79;22.26;7.07;5.1;3.03;3.16;12.18;6.67;29.18;12.84;3.49;7.31;18.65;37.46;11.95;23.48;34.05;3.9;25.04;1.86;5.3;9.66;9.22;23.58;3.47;3.62;1.86;3.65;16.08;5.67;;4.05;5.62;1.99;1.64;17.34;1.91
NOx;uur;µg NO2/m³;2024-06-23T12:00:00+01:00;2024-06-23T13:00:00+01:00;3.34;2.95;3.1;12.37;1.82;2.27;6.27;14.35;14.13;9.99;5.55;5.44;2.21;2.18;13.11;9.31;27.31;14.06;3.49;3.72;23.93;36.1;16.2;10.38;28.31;3.98;21.99;1.86;7.39;10.99;8.21;29.03;2.46;3.24;1.45;2.32;20.81;5.71;;2.97;4.89;1.78;1.62;19.04;1.85
NOx;uur;µg NO2/m³;2024-06-23T13:00:00+01:00;2024-06-23T14:00:00+01:00;3.64;2.18;2.39;11.85;2.5;2.65;3.93;8.18;15.24;18.38;3.54;5.02;2.16;1.99;8.65;22.23;20.6;10.62;2.45;3.1;12.72;32.74;14.38;12.73;23.84;3.26;20.36;2.03;4.74;10.88;9.21;32.14;3.48;4.31;1.99;1.96;23.82;5.38;;2.91;13.85;2.05;2.18;13.22;2.23
NOx;uur;µg NO2/m³;2024-06-23T14:00:00+01:00;2024-06-23T15:00:00+01:00;4.13;2.65;1.48;13.94;2.11;5.54;4.17;10.28;10.33;5.46;3.2;5.25;2.35;3;9.69;5.15;11.65;9.02;3.37;3.28;13.66;27.4;8.44;14.25;12.28;3.3;19.81;2.46;3.66;12.04;12.32;27.41;5.15;5.81;2.52;1.81;20.95;4.89;;3.96;8.78;2.27;1.98;14.74;3.09
NOx;uur;µg NO2/m³;2024-06-23T15:00:00+01:00;2024-06-23T16:00:00+01:00;3.33;2.94;1.19;12.07;2.32;3.14;2.59;15.58;14.29;10.45;3.26;4.69;2.56;1.67;4;4.93;13;10.49;3.11;4.4;8.05;25.33;8.05;21.85;11.07;3.45;17.77;2.4;3.57;7.91;8.58;26.12;2.99;5.69;2.79;3.06;23.89;5.3;;4.98;3.45;2.02;1.64;16.12;1.5
NOx;uur;µg NO2/m³;2024-06-23T16:00:00+01:00;2024-06-23T17:00:00+01:00;4.41;3.22;1.28;14.5;3.8;5.32;1.81;11.99;13.35;10.68;5.81;3.83;3.05;6.13;3.27;5.89;15.06;6.98;6.57;9.09;6.44;28.87;9.53;16.63;11.83;3.38;11.88;2.71;2.75;8.76;8.52;31.41;3.1;4.35;3.06;3.56;30.1;7.48;;4.25;2.75;1.6;3.14;20.27;1.54
NOx;uur;µg NO2/m³;2024-06-23T17:00:00+01:00;2024-06-23T18:00:00+01:00;4.09;3.56;3.08;19.59;3.81;2.79;1.49;13.46;16.94;6.15;4.85;5.96;3.29;4.17;3.91;3.29;6.03;4.76;31.86;10.21;4.58;21.41;9.04;13.92;9.89;2.9;13.81;2.55;3.03;7.03;10.34;34.23;4.1;3.61;2.97;3.36;40.16;12.64;;4.23;4.6;2.23;3.76;14.43;2.38
NOx;uur;µg NO2/m³;2024-06-23T18:00:00+01:00;2024-06-23T19:00:00+01:00;4.96;4.58;3.03;18;3.27;4.66;1.5;17.79;35.67;13.84;11.99;7.1;3.91;9.72;4.14;2.48;4.32;6.03;23.45;7.06;4.86;20.91;6.71;11.12;12.12;3.04;15;2.67;3.85;8.42;12.74;42.08;6.95;3.29;2.96;3.73;51.04;11.02;;3.77;3.36;2.52;3.95;15.1;3.85
NOx;uur;µg NO2/m³;2024-06-23T19:00:00+01:00;2024-06-23T20:00:00+01:00;6.71;5.5;2.79;14.98;2.36;5.12;2.01;15.85;19.76;15.65;15.17;6.02;5.08;8.46;4.64;2.68;8.98;7.81;18.53;7.06;18.32;25.39;8.69;18.72;7.95;6.49;21.28;4.01;3.14;7.95;14.84;44.78;6.03;3.26;5.21;3.97;42.62;10.82;;5.07;6.37;2.83;4.95;17.82;4.42
NOx;uur;µg NO2/m³;2024-06-23T20:00:00+01:00;2024-06-23T21:00:00+01:00;8.73;6.74;4.1;19.66;11.91;6.36;3.84;11.45;17.37;13.03;10.37;15.87;6.7;20.91;5.88;4.79;10;9.65;17.7;6.45;17.93;19.96;10.27;25.93;36.35;4.32;36.55;3.38;5.1;16.28;16.07;51.04;7.85;5.67;4.34;4.11;47.96;13.24;;4.87;3.77;3.93;2.22;15.54;5.92
NOx;uur;µg NO2/m³;2024-06-23T21:00:00+01:00;2024-06-23T22:00:00+01:00;14.12;8.72;7.05;48.34;16.99;11.41;4.17;16.25;18.26;13.77;12.19;16.06;7.84;18.32;6.29;8.87;16.43;9.61;22.18;10.52;11.29;22.73;16.52;52.71;71.51;5.2;37.04;3.52;9.03;18.2;23.07;40.26;8.92;5.52;4.09;5.63;77.48;14.63;;4.95;4.62;4.36;1.85;11.37;7.02
NOx;uur;µg NO2/m³;2024-06-23T22:00:00+01:00;2024-06-23T23:00:00+01:00;14.99;9.73;5.22;63.49;22.04;12.11;4.58;19.28;23.83;16.02;12.53;13.62;7.49;29.88;10.91;8.78;27.47;13.87;23.6;12.46;9.51;32.53;66.35;34.25;51.37;4.93;37.93;3.85;13.26;21.47;30.87;48.3;8.4;4.33;3.67;7.2;52.95;15.09;;6.25;5.76;5.09;1.56;11.47;5.22
NOx;uur;µg NO2/m³;2024-06-23T23:00:00+01:00;2024-06-24T00:00:00+01:00;12.46;11.96;5.65;67.4;23.71;13.39;4.79;18.34;20.57;26.17;10.43;14.9;8.18;53.23;13.02;12.5;29.88;16.89;20.76;16.56;7.18;54.73;65.19;31.35;52.63;5.17;35.28;8.13;13.17;15.98;34.08;61.15;9.32;5.54;3.43;9.43;54.76;33.73;;5.97;4.66;4.74;1.85;9.34;4.79
NOx;uur;µg NO2/m³;2024-06-24T00:00:00+01:00;2024-06-24T01:00:00+01:00;15.16;11.5;5.32;75.4;23.16;14.45;6.56;13.39;18.86;70.49;13.58;22.31;9.7;;18.81;19.21;15.64;40.02;;22.64;6.5;36.24;50.56;27.45;23.41;5.67;23.57;4.96;10.09;16.51;19.92;85.82;16.77;9;4.95;7.63;49.05;35.24;;5.89;10.34;6.24;2.69;6.19;3.37
NOx;uur;µg NO2/m³;2024-06-24T01:00:00+01:00;2024-06-24T02:00:00+01:00;12.59;10.91;5.53;46.28;23.25;14.81;6.16;14.69;13.48;59.55;14.55;22.79;9.29;;17.75;18.49;16.77;37.61;23.04;27.06;5.59;12.7;40.2;34.11;15.51;5.57;19.89;3.38;10.53;15.45;19.17;70.56;14.56;8.11;4.54;6.96;26.31;14.4;;5.84;5.03;5.08;2.78;6.33;2.64
NOx;uur;µg NO2/m³;2024-06-24T02:00:00+01:00;2024-06-24T03:00:00+01:00;15.56;9.83;5.23;23.93;12.51;15.92;7.49;11.87;15.25;57.72;11.32;26.66;9.44;60.91;22.22;15.14;16.22;25.93;21.48;22.11;5.86;16.23;19.23;22.14;17.08;5.59;22.13;3.63;14.72;12.61;18.49;53.31;12.05;8.13;5;7.56;23.88;9.51;;3.71;7.52;4.72;2.76;5.46;2.13
NOx;uur;µg NO2/m³;2024-06-24T03:00:00+01:00;2024-06-24T04:00:00+01:00;20.31;10.64;4.92;21.09;7.58;32.27;8.32;14.09;12.45;39.28;14.25;27.59;10.87;45.88;21.09;16.3;14.03;12.51;21.67;22.59;5.88;16.29;26.67;20.61;22.65;6.65;18.35;4.06;14.27;10.96;16.84;35.26;10.68;9.24;5.62;12.24;12.85;8.77;;19.36;8.55;4.73;3.71;6;2.09
NOx;uur;µg NO2/m³;2024-06-24T04:00:00+01:00;2024-06-24T05:00:00+01:00;19.29;18.41;6.8;50.56;8.67;13.65;7.75;18.52;16.58;32.3;17.66;32.07;10.55;29.64;22.18;17.23;19.89;11.45;35.77;25.82;5.69;18.91;39.69;47.74;84.32;7.08;19.8;4.58;17.74;13.28;14.93;61.1;10.37;10.97;6.47;14.91;33.06;11.53;;16.59;7.57;5.05;4.37;32.75;2.85
NOx;uur;µg NO2/m³;2024-06-24T05:00:00+01:00;2024-06-24T06:00:00+01:00;22.74;27.96;10.53;54.99;13.53;22.57;9.18;33.23;45.42;59.89;25.31;35.23;14.96;36.41;26.47;28.81;18.22;15.7;72.85;34.02;4.67;37.35;46.87;123.46;185.46;9.09;66.32;5.75;19.33;16.3;33.62;35.93;18.26;16.23;8.53;21.49;44.34;13.96;;25.1;6.17;4.12;4.31;45.46;1.81
NOx;uur;µg NO2/m³;2024-06-24T06:00:00+01:00;2024-06-24T07:00:00+01:00;18.54;23.62;14.19;63.38;23.46;51.58;16.78;37.93;73.07;36.71;27.86;38.76;18.15;37.99;41.21;37;37.59;33.03;61.27;42.82;16.89;58.8;64.13;49.42;140.01;12.91;85.3;4.78;21.1;22.92;45.8;15.36;21.53;25.1;10.02;20.42;48.29;16.21;;4.16;5.63;5.78;2.28;41.53;1.64
NOx;uur;µg NO2/m³;2024-06-24T07:00:00+01:00;2024-06-24T08:00:00+01:00;12.24;12.57;10.52;59.03;21.91;19.86;27.2;27.63;43.55;47.69;22.16;27.45;35.06;15.18;33.58;43.72;39.55;41.54;36.17;32.57;15.7;45.52;21.41;43.92;136.76;2.59;48.56;3.09;9.8;12.34;37.39;5.19;15.76;22.72;7.95;7.95;59.35;20.34;;2;3.92;3.93;2.02;41.74;1.92
NOx;uur;µg NO2/m³;2024-06-24T08:00:00+01:00;2024-06-24T09:00:00+01:00;14.83;10.55;16.02;46.78;35.29;15.59;17.23;23.38;26.66;39.23;21.82;12.73;17.37;8.48;13.67;21.92;26.89;46.63;20.84;62.52;12.24;38.94;28.11;38.49;96.49;2.09;52.37;2.92;7.45;12.31;28.15;5.18;9.8;16.24;6.93;2.35;55.01;18.57;;3.15;5.91;2.97;2.51;33.99;2.67
NOx;uur;µg NO2/m³;2024-06-24T09:00:00+01:00;2024-06-24T10:00:00+01:00;12.43;6.32;18.36;41.75;18.62;8.09;16.12;13.64;14.68;32.41;17.91;10.15;6.59;3.96;4.61;10.12;26.69;39.98;14.54;7.67;6.68;35.76;29.73;54.58;97.24;1.42;31.98;2.33;5.23;10.99;17.63;;5.55;9.84;3.61;2.93;41.06;16.14;;4.68;3.72;2.9;2.47;25.26;2.71
NOx;uur;µg NO2/m³;2024-06-24T10:00:00+01:00;2024-06-24T11:00:00+01:00;7.02;4.68;9.14;19.03;5.75;5.1;17.77;10.96;14.77;23.89;10.19;11.4;7.79;2.64;3.65;14.22;21.69;23.78;17.85;7.55;4.47;39.38;29.75;48.58;79.64;0.94;24.93;1.45;8.94;7.88;18.64;;4.25;6.09;2.67;1.73;42.89;9.28;;0.81;5.58;2.32;4.01;22.46;3.29
NOx;uur;µg NO2/m³;2024-06-24T11:00:00+01:00;2024-06-24T12:00:00+01:00;4.45;4.49;4.95;17.72;5.43;3.45;12.35;8.77;30.98;22.21;6.44;;4.76;2.54;5.95;7.83;12.33;30.72;13.01;12.63;4.99;33.88;39.76;34.69;48.55;0.84;34.15;5.35;5.38;12.76;13.14;;4.26;4.47;2.07;1.96;54.32;10.42;;2;7.32;2.47;1.63;27.55;0.36
NOx;uur;µg NO2/m³;2024-06-24T12:00:00+01:00;2024-06-24T13:00:00+01:00;5.32;5.67;5.03;20.64;5.81;3.16;10.87;11.98;24.84;24.16;5.56;;4.94;2.54;9.82;4.17;12.84;15.27;8.97;7.12;6.92;28.57;27.96;38.88;19.49;0.6;22.86;1.8;3.86;7.04;16.26;;4.25;4.08;1.96;4.97;56.82;7.63;;2.06;2.19;1.96;1.23;28.4;0.03
NOx;uur;µg NO2/m³;2024-06-24T13:00:00+01:00;2024-06-24T14:00:00+01:00;4.89;5.08;3.92;23.14;4.84;3.14;7.67;12.7;26.04;16.39;5.02;12.33;4.38;2.8;14.2;5.86;12.55;13.89;8.31;4.96;6.18;23.56;14.91;27.48;18.8;1.04;17.79;1.62;9.93;12.66;23.54;;5.35;4.16;2.07;2.35;64.44;8.04;;2.82;5.66;1.63;0.72;33.71;0.14
NOx;uur;µg NO2/m³;2024-06-24T14:00:00+01:00;2024-06-24T15:00:00+01:00;;3.17;4.52;17.82;5.44;3.96;4.49;12.53;22.72;15.11;5.36;8.39;4.58;2.62;4.33;9.32;12.73;11.28;5.95;4.38;13.55;21.48;15.68;35.47;16.81;1.54;28.02;1.44;3.82;6.99;20.22;;5.19;5.17;2.53;3.02;52.73;6.67;;3.67;2.77;1.72;1;20.36;0.57
NOx;uur;µg NO2/m³;2024-06-24T15:00:00+01:00;2024-06-24T16:00:00+01:00;;4.92;4.9;20.72;5.12;4.04;4.09;11.78;22.84;14.05;5.08;6.04;4.91;2.41;8.89;4.94;11.88;11.63;4.91;4.92;4.62;19.59;14.04;31.04;17.95;1.16;37.66;1.41;4.33;11.31;20.04;6.72;4.78;4.4;2.94;2.44;46.11;9.45;;4.09;2.7;1.65;1.07;24.1;1.04
NOx;uur;µg NO2/m³;2024-06-24T16:00:00+01:00;2024-06-24T17:00:00+01:00;5.05;4.15;;16.76;5.01;7.51;4.58;15.52;21.1;16.96;4.85;6.62;4.99;2.56;13.17;11.4;9.57;13.22;9.32;5.24;2.37;29.51;11.26;29.61;16.08;1.4;31.73;1.8;4.01;10.09;20.51;7.4;5.05;4.67;3.73;5.07;37.52;5.85;;8.39;2.92;1.46;1.61;20.19;0.81
NOx;uur;µg NO2/m³;2024-06-24T17:00:00+01:00;2024-06-24T18:00:00+01:00;6.27;4.1;4.46;16.58;5.39;5.06;4.19;17.36;11.92;13.08;5.37;8.27;5.28;3.83;22.08;31.43;8.42;11.48;33.93;5.59;5.8;16.66;11.78;26.9;12.23;1.81;31.26;1.82;4.53;6.84;29.54;4.73;4.78;4.71;3.13;3.17;27.23;5.36;;2.47;2.95;1.53;1.12;13.26;0.22
NOx;uur;µg NO2/m³;2024-06-24T18:00:00+01:00;2024-06-24T19:00:00+01:00;7.29;3.87;5.05;15.65;5.71;10.58;6.65;10.86;13.16;11.99;6.12;30.4;4.95;3.17;17.31;13.13;8.56;11.59;20.78;8.14;2.43;16.06;9.04;30.52;12.8;1.46;24.55;2.07;9.5;4.05;15.12;5.93;5.01;5.93;3.19;7.25;30.09;10.18;;2.34;5.36;2.11;1.78;20.67;3.75
NOx;uur;µg NO2/m³;2024-06-24T19:00:00+01:00;2024-06-24T20:00:00+01:00;8.51;4.97;6.09;17.76;7.7;35.94;12.42;13.4;12.47;13.62;6.63;19.6;5.25;4.89;14.34;17.16;7.49;12.46;22.55;10.3;2.47;13.28;7.73;23.23;8.19;1.89;16.64;2.1;6.59;4.22;10.78;8.5;5.07;9.84;3.94;4.72;31.35;9.71;;8.33;3.38;2.64;2.35;15.67;3.72
NOx;uur;µg NO2/m³;2024-06-24T20:00:00+01:00;2024-06-24T21:00:00+01:00;8;10.6;9.72;18.08;9.99;49.46;19.45;20.65;16.58;13.25;13.54;24.54;7.34;6.59;20.14;18.66;10.38;16.09;26.92;12.35;4.03;14.7;9.54;30.66;11.53;2.83;10.09;2.68;6.2;6.4;15.27;7.16;7.45;17.97;4.35;6.17;44.37;20.29;;9.9;7.43;3.87;4.04;16.46;4.88
NOx;uur;µg NO2/m³;2024-06-24T21:00:00+01:00;2024-06-24T22:00:00+01:00;8.2;16.63;10.46;15.25;13.47;25.32;18.1;22.42;18.46;16.34;13.84;15.21;10.39;8.23;24.43;18.97;13.02;15.28;24.01;15.82;5.62;11.84;12.12;34.09;16.04;2.87;7.52;4.03;7.2;11.17;12.53;11.18;13.15;20.38;5.09;8.6;67.02;19.58;;9.63;4.66;5.23;4.2;23.47;5.59
NOx;uur;µg NO2/m³;2024-06-24T22:00:00+01:00;2024-06-24T23:00:00+01:00;8.75;13.67;6.84;13.52;8.68;51.37;25.32;15.29;18.98;21.45;13.21;11.92;10.29;13.72;26.25;32.26;10.59;19.04;39.84;14.41;6.34;16.57;12.28;38.54;32.02;2.95;8.01;4.12;5.91;11.56;14.56;11.75;13.53;20.04;6.35;7.18;55.38;21.49;;3.41;5.3;7.51;3.69;17.92;4.12
NOx;uur;µg NO2/m³;2024-06-24T23:00:00+01:00;2024-06-25T00:00:00+01:00;;9.68;6.37;10.37;8.07;68.22;23.01;9.66;11.42;21.68;13.39;12.13;7.65;10.85;18.45;35.55;11.35;18.53;36.87;13.59;12.6;21.36;17.67;19.71;38.11;3.34;11.35;3.22;6.15;10.94;10.16;14.52;9.83;20.85;5.67;6.51;28.26;13.62;;4.21;6.69;8.03;3.51;17.02;4.56
NOx;uur;µg NO2/m³;2024-06-25T00:00:00+01:00;2024-06-25T01:00:00+01:00;;12.74;6.23;16.43;10.1;24.85;18.67;10.45;11.42;31.65;15.29;25.58;7.85;;20.83;51.72;12.02;15.87;21.55;17.11;14.52;14.01;12.43;24.49;25.29;4.94;18.22;4.29;7.2;7.7;9.05;11.08;9.03;11.22;6.61;7.19;22.16;12.97;;7.05;6.47;10.2;4.7;9.14;7.87
NOx;uur;µg NO2/m³;2024-06-25T01:00:00+01:00;2024-06-25T02:00:00+01:00;;11.96;5.13;16.75;9.82;119.72;15.33;8.36;9.94;27.19;15.55;23.46;8.3;;23.12;39.37;8.61;11.29;14.15;11.83;9.67;11.42;8.58;19.18;18.91;3.79;23.07;3.67;6.21;5.98;9.95;9.36;6.54;8.78;5.67;6.39;11.3;11.41;;7.38;6.25;8.78;3.45;6.97;6.42
NOx;uur;µg NO2/m³;2024-06-25T02:00:00+01:00;2024-06-25T03:00:00+01:00;;13.65;4.16;14.25;10;82.16;14.48;9.02;10.17;26.55;10.61;12.48;7.81;;28.43;21.24;8.78;9.38;13.12;16.65;8.11;8.85;8.56;19.28;15.06;4.39;21;4.13;5.1;5.84;6.98;4.34;5.56;6.24;5.56;7.86;9.8;8.44;;7.26;6.61;8.01;3.68;14.55;5.54
NOx;uur;µg NO2/m³;2024-06-25T03:00:00+01:00;2024-06-25T04:00:00+01:00;;15.93;4.44;22.25;9.78;151.86;13.95;9.87;10.66;21.38;9.46;9.86;8.67;;23.7;33;8.53;8.8;12.38;12.1;7.05;8.1;8.16;22.83;25.62;4.16;20.46;4.35;5.06;10.35;8.52;5.62;8.23;9.51;6.05;9.49;11.73;10.82;;6.8;7.3;6.73;3.83;11.29;5.24
NOx;uur;µg NO2/m³;2024-06-25T04:00:00+01:00;2024-06-25T05:00:00+01:00;;13.57;8.77;59.94;9.64;144.88;12.22;12.83;15.59;26;10.06;9.87;10.67;;17.16;36.46;9.21;8.25;12.57;9.33;7.75;12.55;10.89;46.88;87.91;3.76;27.81;5.08;5.21;10.04;10.48;12.77;10.78;12.67;6.74;38.79;22.27;10.91;;11.53;8.19;7.93;4.93;19.33;6.67
NOx;uur;µg NO2/m³;2024-06-25T05:00:00+01:00;2024-06-25T06:00:00+01:00;;14.57;11.43;79.11;17.27;177.16;10.6;14.06;22.99;32.82;10.55;18.44;14.07;;23.21;30.42;12.55;15.69;14.63;14.66;10.89;24.52;16.28;69.63;124.7;4.49;40.01;;7.93;11.39;24.36;9.45;15.57;13.58;7.57;27.72;31.44;14.54;;9.22;10.37;7.9;7.5;40.26;7.5
NOx;uur;µg NO2/m³;2024-06-25T06:00:00+01:00;2024-06-25T07:00:00+01:00;;14.76;17.93;73.77;17.78;24.07;10.32;18.39;35.49;33;14.58;21.73;21.44;;19.68;64.45;21.01;32.27;19.93;15.9;17.24;27.5;15.63;40.27;80.03;5.53;67.94;7.82;10.25;12.27;40.91;14.56;14.5;15.03;8.51;8.68;51.06;16.66;;10.45;10.71;8.88;5.78;44.15;6.74
NOx;uur;µg NO2/m³;2024-06-25T07:00:00+01:00;2024-06-25T08:00:00+01:00;;20.35;26.39;57.76;;19.41;12.62;23.39;36.93;41.84;17.64;16.98;25.47;;14.14;32.63;22.08;37.48;22.28;58.04;23.51;29.42;19.18;28.51;74.02;5.72;61.15;8.39;9.9;15.68;34.46;10.78;15.89;17.18;9.1;7.48;63.22;22.12;;10.87;12.48;9.99;6.18;39.69;8.07
NOx;uur;µg NO2/m³;2024-06-25T08:00:00+01:00;2024-06-25T09:00:00+01:00;;16.21;16.17;;;17.93;13.07;28.52;39.31;36.39;16.61;18.54;20.46;;15.98;33.52;19.3;38.96;21.87;27.08;22.34;44.05;17.44;27.19;68.09;5.46;57.33;9.65;9.92;13.05;30.62;10.14;14.17;13.46;7.45;6.94;54.13;20.94;;12.57;10.57;9.49;4.94;29.48;8.06
NOx;uur;µg NO2/m³;2024-06-25T09:00:00+01:00;2024-06-25T10:00:00+01:00;;11.83;10.91;;17.16;17.47;11.43;22.65;27.32;31.8;14.29;32.57;15.05;;10.39;26.68;12.82;30.84;16.07;21.89;13.07;42.12;9.99;25.79;54.08;4.63;41.65;8.12;7.7;9.73;19.03;9.54;9.21;10.62;3.88;6.42;52.26;20.86;;11.08;8.05;7.04;5.04;28.77;6.71
NOx;uur;µg NO2/m³;2024-06-25T10:00:00+01:00;2024-06-25T11:00:00+01:00;;6.63;7.19;20.21;4.3;9.45;7.63;18.35;24.86;24.17;9.39;24.56;9.43;;6.66;16.75;6.63;29.25;9.23;14.48;9.82;32.66;4.97;15.13;55.08;4.69;17.9;5.07;5.86;6.82;15.47;8.2;6.46;8.55;2.21;3.31;55.42;16.09;;10.92;6.16;4.85;4.87;27.39;6.21
NOx;uur;µg NO2/m³;2024-06-25T11:00:00+01:00;2024-06-25T12:00:00+01:00;5.52;6.04;9.11;17.87;7.91;7.29;5.13;11.95;22.91;20.67;7.68;11.78;5.29;;4.1;9.96;12.3;23.22;6.65;6.62;9.27;18.84;4.58;13.29;52.34;4.06;17.1;3.93;4.5;7.15;12.12;7.25;5.37;5.1;2.06;4.62;39.3;7.57;;14.79;5.03;3.38;3.46;24.34;3.64
NOx;uur;µg NO2/m³;2024-06-25T12:00:00+01:00;2024-06-25T13:00:00+01:00;8.58;4.79;6.16;20.09;7.33;5.38;3.82;9.71;22.36;16.56;5.31;9.18;4.97;;3.77;8.76;8.5;19.43;4.42;4.82;3.52;22.86;5.5;15.48;19.88;3.44;20.54;2.89;3.39;6.23;16.39;8.37;4.75;4.29;2.67;2.65;34.23;6.51;;11.67;5.92;3.03;3.66;20.21;2.73
NOx;uur;µg NO2/m³;2024-06-25T13:00:00+01:00;2024-06-25T14:00:00+01:00;8.17;4.44;4.71;15.72;5.01;5.53;4.56;10.62;22.13;17.77;4.7;6.97;4.63;;5.23;6.45;7.98;22.96;4.59;5.11;2.81;21.69;6.8;20.13;13.09;2.95;21.3;2.97;3.55;8.52;18.8;8.76;5.34;5.07;2.18;2.81;33.48;7.24;;9.92;5.99;2.83;4.05;23.01;3.79
NOx;uur;µg NO2/m³;2024-06-25T14:00:00+01:00;2024-06-25T15:00:00+01:00;5.2;3.67;4.37;21.02;5.34;29.21;4.91;11.34;21.84;14.37;4.68;7.39;4.59;;10.96;5.48;7.56;19.92;4.14;5.1;4.79;15.98;8.08;28.59;10.63;3.42;17.85;3.06;3.38;6.21;19.67;7.29;5.35;6.72;2.46;2.99;35.88;6.5;;5.46;4.17;2.65;7.04;25.12;2.68
NOx;uur;µg NO2/m³;2024-06-25T15:00:00+01:00;2024-06-25T16:00:00+01:00;5.46;4.9;5.62;20.8;5.91;13.78;3.52;13.8;19.33;16.83;3.74;8.92;4.26;;11.14;5.28;6.35;16.62;5.03;4.47;4.81;23.5;8.8;15.77;12.55;3.29;13.91;2.81;3.94;5.4;16.01;4.93;5.71;8.93;2.95;3.3;36.69;7.69;;8.49;6.51;3.04;4.9;20.55;2.98
NOx;uur;µg NO2/m³;2024-06-25T16:00:00+01:00;2024-06-25T17:00:00+01:00;5.55;4.63;5.17;19.45;6.94;15.4;3.11;11.86;19.05;12.93;4.72;7.41;4.51;;13.02;16.11;10.02;24.03;5.24;5.42;3.5;16.56;9.39;14.38;11.17;2.92;10.87;2.72;3.87;4.8;16;5.28;5.44;6.45;3.56;2.94;40.74;8;;6.78;5.83;2.94;2.23;20.31;3.37
NOx;uur;µg NO2/m³;2024-06-25T17:00:00+01:00;2024-06-25T18:00:00+01:00;4.61;4.63;5.13;14.47;6.28;7.56;3.46;11.91;10.71;7.16;3.73;6.91;4.53;;14.76;12.09;6.67;16.79;4.7;5.25;5.67;16.69;9.01;18.26;9.77;3.16;9.36;2.76;7.1;5.14;17.77;4.52;4.85;5.56;3.41;2.69;24.74;6.36;;7.21;4.79;2.95;3.27;15.02;3.66
NOx;uur;µg NO2/m³;2024-06-25T18:00:00+01:00;2024-06-25T19:00:00+01:00;6.09;4.74;4.33;12.65;5.89;12.86;3.88;11.98;9.77;8.34;3.29;3.93;4.46;;17.12;11.34;7.86;9.29;5.25;5.4;5.03;15.93;10.01;14.64;12.03;3.23;5.51;3.1;12.22;4.51;13.67;6.13;5.26;5.69;3.58;2.78;25.7;7.49;;8.89;6.33;2.97;3.46;13.77;4.56
NOx;uur;µg NO2/m³;2024-06-25T19:00:00+01:00;2024-06-25T20:00:00+01:00;8.03;6.16;4.65;13.09;5.53;33.88;3.88;16.77;16.83;11.69;5.06;7.83;4.25;;19.98;16.08;12.26;10.28;6.83;8.69;4.78;12.35;12.78;21.33;13.41;3.58;6.46;3.15;5.5;6.03;17.17;8.72;6.56;6.96;3.78;3.41;31.37;20.84;;10.45;5.24;4.82;3.73;16.2;3.12
NOx;uur;µg NO2/m³;2024-06-25T20:00:00+01:00;2024-06-25T21:00:00+01:00;11.18;10.3;9.84;13.42;7.03;60.4;4.43;20.16;17.84;18.95;6.76;12.33;5.85;;28.66;19.79;9.9;12.59;6.95;13.07;7.44;15.59;13.17;28.27;12.93;4.52;6.98;4.35;8.54;8.25;18.83;12.95;8.29;13.96;4.04;6.22;41.41;20.64;;72.88;5.82;7.35;4.05;19.76;3.03
NOx;uur;µg NO2/m³;2024-06-25T21:00:00+01:00;2024-06-25T22:00:00+01:00;11.49;17.97;14.24;24.39;12.17;11.11;7.36;12.11;34.92;17.52;12.54;14.04;9.91;;30.34;26.38;9.51;21.81;13.91;15.99;4.26;11.81;13.2;26.14;14.19;3.8;8.39;5.16;9.08;10.28;15.63;13.34;12.05;12.99;4.97;12.66;53.26;22.69;;19.34;5.78;7.18;4.86;21.82;3.87
